 CANC,CANCELLATION - SINGLE
RATIF OF UNIT AGR,RATIFICATION
RATIF OF V/L,RATIFICATION
RATIF OGML,RATIFICATION
RATIF OGML 889-197,RATIFICATION
RATIF OGML ETC,RATIFICATION
RATIF ORR,RATIFICATION
RATIF P-ATTY,RATIFICATION
RATIF P/ATTY,RATIFICATION
RATIF PARTITION,RATIFICATION
RATIF R/W,RATIFICATION
RATIF RD,RATIFICATION
RATIF RDO,RATIFICATION
RATIF RDO ETC,RATIFICATION
RATIF SALE,RATIFICATION
RATIF SALE & STATEME,RATIFICATION
RATIF SALE ETC,RATIFICATION
RATIF SEISM OP AGREE,RATIFICATION
RATIF UNIT DECL,RATIFICATION
RATIF V/L,RATIFICATION
RATIF VOL UNIT AGREE,RATIFICATION
RATIF WARR DEED,RATIFICATION
RATIF WARR DEED ETC ,RATIFICATION
RATIF& CONF,RATIFICATION
RATIF&EX OF OGML,RATIFICATION
RATIF&RN DIV OR,RATIFICATION
RATIF&RN DIV ORD,RATIFICATION
"RATIF, CONFIRM & Q/C",RATIFICATION
"RATIF, ETC",RATIFICATION
"RATIF, RDO ETC",RATIFICATION
RATIF. & R.D.O.,RATIFICATION
"RATIF.,",RATIFICATION
RATIF/ ACKNOW,RATIFICATION
RATIF/ AMEND,RATIFICATION
RATIF/ CONF,RATIFICATION
RATIF/ DEP DESG,RATIFICATION
RATIF/ DEP DSGN,RATIFICATION
RATIF/ JOINDER,RATIFICATION
RATIF/ P/ATTY,RATIFICATION
RATIF/ RDO,RATIFICATION
RATIF/AMEND OF OGML ,RATIFICATION
RATIF/AMEND OGML,RATIFICATION
RATIF/CORR,RATIFICATION
RATIF/DP DESIG,RATIFICATION
RATIF/RENTAL ORDER,RATIFICATION
RATIF/TRUST AGREE ET,RATIFICATION
RATIFCATION OF SALE ,RATIFICATION
RATIFI & CONFIRM,RATIFICATION
RATIFI & R.D.O.,RATIFICATION
RATIFI & RDO,RATIFICATION
RATIFI- CATION,RATIFICATION
RATIFIC OGML,RATIFICATION
RATIFICA,RATIFICATION
RATIFICA & R.D.O,RATIFICATION
RATIFICA & RDO,RATIFICATION
RATIFICA ASGN,RATIFICATION
RATIFICA OGML,RATIFICATION
RATIFICA SUBLSE,RATIFICATION
RATIFICATION,RATIFICATION
RATIFICATION DEED,RATIFICATION
RATIFICATION ETC,RATIFICATION
RATIFICATION RESOLUT,RATIFICATION
RCPT & RELEASE,RELEASE
RCSSN OF EXCH,REVOCATION
RD & DR R/W,RIGHT OF WAY
RD ABAND,AFFIDAVIT
RD ABANDON,AFFIDAVIT
RD DED & PLAT,DEDICATION
RD DEDICA,DEDICATION
RD DEDICATION,DEDICATION
RD MAINT AGREE,AGREEMENT
RD PERMIT,PERMIT 
RD R/W,RIGHT OF WAY
RD R/W MAINT AGREE,RIGHT OF WAY
RD R/W P/ATTY,RIGHT OF WAY
RD R/WAY,RIGHT OF WAY
RD/SRF LSE PL-R/W FR,RIGHT OF WAY
RDEMP,REDEMPTION
RDO,OGM FILING
RDO & CHD DEP,OGM FILING
RDO & CHG DEP,OGM FILING
RDO & CHG/DEP,OGM FILING
RDO & DESG DEP,OGM FILING
RDO & RATIF,OGM FILING
RDO CHG OF DEP,OGM FILING
RDO ETC,OGM FILING
RDO RAT &CHG DEP,OGM FILING
RDO RAT &CHG/DEP,OGM FILING
"RDO,CHG OF DEP",OGM FILING
RDO/ RATIF,OGM FILING
RDO/CHG DEP,OGM FILING
RE ACKNW LDGMNT,ACKNOWLEDGMENT
RE AFFRM AGREE,AGREEMENT
RE ASSIGN,ASSIGNMENT
RE CONVEY,TRANSFER
RE ENTRY AGREE,AGREEMENT
RE EST OF COMM,AGREEMENT
RE ESTAB OF COMM,AGREEMENT
RE FILED TAX LIEN,LIEN
RE IN MTG,REINSCRIPTION
RE INS ASSIGN,REINSCRIPTION
RE INS ASSIGN LEASES,REINSCRIPTION
RE INS CORR MTG,REINSCRIPTION
RE INS JUDG,REINSCRIPTION
RE INS JUDG ETC,REINSCRIPTION
RE INS LIEN,REINSCRIPTION
RE INS MIN,REINSCRIPTION
RE INS MINERALS,REINSCRIPTION
RE INS MTG,REINSCRIPTION
RE INS MTG & REQ,REINSCRIPTION
RE INS MTG & RQ,REINSCRIPTION
RE INS MTG CORR,REINSCRIPTION
RE INS MTG ETC,REINSCRIPTION
RE INS MTG&REQ,REINSCRIPTION
RE INS PLEDGE,REINSCRIPTION
RE INS PLEDGE & ASSI,REINSCRIPTION
RE INS V/LIEN,REINSCRIPTION
RE INS/ MIN SERV,REINSCRIPTION
RE INSC MTG,REINSCRIPTION
RE- ASSIGN,ASSIGNMENT
RE- INSTATE,AFFIDAVIT
RE-ASIGN,ASSIGNMENT
RE-ASIGN ORR,ASSIGNMENT
RE-ASSGN & TERM,ASSIGNMENT
RE-ESTAB COMM,AGREEMENT
RE-ESTAB OF COMM,AGREEMENT
RE-ESTAB ROYALTY,AGREEMENT
RE-FILED TAX LIEN,LIEN
RE-INS JUDG,REINSCRIPTION
RE-INS LIEN,REINSCRIPTION
RE-INS MTG,REINSCRIPTION
RE-INS SUPP MTG,REINSCRIPTION
RE-INS TAX LIEN,REINSCRIPTION
RE-INSC MINERALS,REINSCRIPTION
RE-INSC MTG,REINSCRIPTION
RE-INSC MTG ETC,REINSCRIPTION
RE-RECORDED MTG,MORTGAGE
REACKN & RECONS OF M,ACKNOWLEDGMENT
REACKNW ETC,ACKNOWLEDGMENT
REAFFIRM MIN AGREE,AGREEMENT
REAL EST OPTION,OPTION 
REAL ESTATE LIEN ASS,LIEN
REAMORIT AGREE,AGREEMENT
REAMORT MTG,MORTGAGE
REAMORTI AGREE,AGREEMENT
REASIGN/ SUBLSE,ASSIGNMENT
REASSGN SB LEASE,ASSIGNMENT
REASSIGN,ASSIGNMENT
REASSIGN MTG ETC,ASSIGNMENT
REASSIGN OF PROD,ASSIGNMENT
REC & RATIF,RATIFICATION
REC OF CONT EFFIC OF,AFFIDAVIT
REC SEP OWNERSHP,AFFIDAVIT
RECEIPT,RECEIPT
RECEIPT & MEMO,RECEIPT
RECEIPT & RATIF,RECEIPT
RECEIPT & REL,RECEIPT
RECEIPT & RELEASE,RECEIPT
RECEIPT & WAIVER,RECEIPT
RECEIPT &RELEASE,RECEIPT
RECEIPT /REL,RECEIPT
RECEIPT CERTIF DEPOS,RECEIPT
RECEIPT REL & CONVEY,RECEIPT
RECEIPT REL TUTR,RECEIPT
RECEIPT RELEASE & CO,RECEIPT
RECEIPT RELEASE & IN,RECEIPT
RECEIPT& RELEASE,RECEIPT
RECEIPT/ RELEASE,RECEIPT
RECEPT & SATISFC,RECEIPT
RECESS / OPTION,AFFIDAVIT
RECIPROCAL P/ATTY,POWER OF ATTORNEY
RECIS & RENUNC FARM ,TERMINATION
RECISS OF SALE,TERMINATION
RECISSN OF SALE,TERMINATION
RECITALS,OGM FILING
RECNV PR TRM TRS,TRANSFER
RECOG SEP PROP,AFFIDAVIT
RECONVEY,OGM FILING
RECONVEY MIN INT,OGM FILING
RECONVEYANCE,OGM FILING
RECONVY,OGM FILING
RECONVY AGREE,OGM FILING
RECOV P/ATTY,REVOCATION
RECOVC P/ATTY,REVOCATION
RECPT & REL,RELEASE
RECPT & SATISFCN,RECEIPT
RECT. & REL.,RECEIPT
RED CPTL JUDG,JUDGMENT
REDEMP,REDEMPTION
REDEMP & Q/C,REDEMPTION
REDEMP & QC,REDEMPTION
REDEMP CORR,REDEMPTION
REDEMP DEED,REDEMPTION
REDEMP OF TX SL,REDEMPTION
REDEMP TAX SALE,REDEMPTION
REDEMP- TION,REDEMPTION
REDEMP/ QC,REDEMPTION
REDEMP/ QC DEED,REDEMPTION
REDEMPT,REDEMPTION
REDEMPT DEED,REDEMPTION
REDEMPT TAX SALE,REDEMPTION
REDEMPTN,REDEMPTION
REESTAB OF COMM,AGREEMENT
REESTAB/ MIN INT,OGM FILING
REESTAB/ MIN RES,OGM FILING
REESTBMT /COMM,AGREEMENT
REFILED TAX LIEN,LIEN
REFILED TX LIEN,LIEN
REFORM WARR DEED,AMENDMENT
REFU AFF,AFFIDAVIT
REFUSAL ACKNOW,ACKNOWLEDGMENT
REFUSAL OF OP TO PUR,WITHDRAWAL
REFUSAL OF OPTION,WITHDRAWAL
REG AGREE,AGREEMENT
REG STA SITE LSE,LEASE
REG STATION SITE LSE,LEASE
REGLTRY AGREE,AGREEMENT
REGULARTORY AGREEMEN,AGREEMENT
REGULAT AGREE,AGREEMENT
REGULAT- ORY AGRE,AGREEMENT
REGULATOR STATION LS,LEASE
REGULATORY AGREE,AGREEMENT
REGULATORY AGREEMENT,AGREEMENT
REHAB CONT,CONTRACT
REIN ASN ACTS REC,REINSCRIPTION
REINS ASGN A R,REINSCRIPTION
REINS ASSIGN,REINSCRIPTION
REINS ASSIGN LEASES/,REINSCRIPTION
REINS JUDG,REINSCRIPTION
REINS MTG,REINSCRIPTION
REINSC ASGN A/R,REINSCRIPTION
REINSC MTG,REINSCRIPTION
REINSCR ASSIGN,REINSCRIPTION
REINSCRB MINERALS,REINSCRIPTION
REINSCRB MTG,REINSCRIPTION
REINSCRI MINERA,REINSCRIPTION
REINSRIB ASSIG ET,REINSCRIPTION
REINSTATE CHARTER,MISCELLANEOUS
REINSTATED CHARTER,MISCELLANEOUS
REINSTATEMENT,MISCELLANEOUS
REINSTMNT & MODIF AG,AGREEMENT
REL,RELEASE
REL & AMEND ASSIGN E,RELEASE
REL & GRANT,RELEASE
REL & Q C,RELEASE
REL & QC,RELEASE
REL & R/W,RELEASE
REL & RE-ASSIGN MIN ,RELEASE
REL ASGN ACC REC,RELEASE
REL ASGN RENTS,RELEASE
REL ASSIGN LSE & REN,RELEASE
REL ETC,RELEASE
REL FARM LSE,RELEASE
REL GEO OP AGREE,RELEASE
REL GEO PER,RELEASE
REL GEO PERMIT ETC,RELEASE
REL GEO PERMITS,RELEASE
REL LAND FROM LSE,RELEASE
REL LICENSE AGREE & ,RELEASE
REL MEMO SALE PLD,RELEASE
REL MTG ETC,RELEASE
REL NTC ASSIGN,RELEASE
REL NTC LIS PEND,RELEASE
REL OF AMEND,RELEASE
REL OF CONT,RELEASE
REL OF LSE,RELEASE
REL OF MIN,RELEASE
REL OF PRD PMT,RELEASE
REL OF PROD PAY,RELEASE
REL OF R/W,RELEASE
REL OF USUFRUCT,RELEASE
REL OGL,RELEASE
REL OGL & LTD ROY DE,RELEASE
REL OGML,RELEASE
REL OGML & LTD ROY D,RELEASE
REL ORR&ASSIN OGL,RELEASE
REL PROD PAY,RELEASE
REL RIGHT OF FIRST R,RELEASE
REL RT OF RDMPT,RELEASE
REL SALT WATER DISP ,RELEASE
REL SEISMIC PERMIT &,RELEASE
REL STORAGE R/W AGRM,RELEASE
REL SUB SURF & ROAD ,RELEASE
REL SURF LSE AGREE,RELEASE
REL USUFRUCT,RELEASE
REL&UNIT DECL,RELEASE
REL/ALL CLAIMS,RELEASE
REL/ASGN ACTS/RC,RELEASE
REL/BUY& SELL AGR,RELEASE
REL/CANC ASSIGN,RELEASE
RELASE,RELEASE
RELEASE,RELEASE
RELEASE & AGREE,RELEASE
RELEASE & ASSIGN,RELEASE
RELEASE & CANC,RELEASE
RELEASE & CONVEY,RELEASE
RELEASE & ETC,RELEASE
RELEASE & P/ATTY,RELEASE
RELEASE & PLAT,RELEASE
RELEASE & PLEDGE,RELEASE
RELEASE & Q C,RELEASE
RELEASE & Q/CLAIM,RELEASE
RELEASE & QC,RELEASE
RELEASE & QTCLM,RELEASE
RELEASE & QUITCLAIM ,RELEASE
RELEASE & RCPT ETC,RELEASE
RELEASE & RECEIPT,RELEASE
RELEASE & RECONVEYAN,RELEASE
RELEASE & RENUN,RELEASE
RELEASE & SATIS,RELEASE
RELEASE & SATISFACTI,RELEASE
RELEASE & TRNSFR,RELEASE
RELEASE &CONSENT,RELEASE
RELEASE &LSE CAN,RELEASE
RELEASE &REASIGN,RELEASE
RELEASE &RECEIPT,RELEASE
RELEASE /AAR,RELEASE
RELEASE /FRM LSE,RELEASE
RELEASE /INT,RELEASE
RELEASE /LN BOND,RELEASE
RELEASE /OPTION,RELEASE
RELEASE /QC,RELEASE
RELEASE /RENUN,RELEASE
RELEASE ACTS RCV,RELEASE
RELEASE AG LEASE,RELEASE
RELEASE AGREE,RELEASE
RELEASE ASSIGN,RELEASE
RELEASE ASSIGN & ETC,RELEASE
RELEASE ASSIGN LEASE,RELEASE
RELEASE ASSIGN LSE R,RELEASE
RELEASE ASSIGN OF LS,RELEASE
RELEASE CONVEY ETC,RELEASE
RELEASE EASEMENT,RELEASE
RELEASE ETC,RELEASE
RELEASE EX INVEN,RELEASE
RELEASE FIRST REFUSA,RELEASE
RELEASE GEO,RELEASE
RELEASE GEO OP AGREE,RELEASE
RELEASE GEO OPT AGR ,RELEASE
RELEASE GEO OPT AGRE,RELEASE
RELEASE GEO OPT AGRM,RELEASE
RELEASE GEO PER,RELEASE
RELEASE GEO PER & OP,RELEASE
RELEASE GEO PERMIT,RELEASE
RELEASE GEO PERMITS ,RELEASE
RELEASE GEOPHYSICAL ,RELEASE
RELEASE GOE OP AGREE,RELEASE
RELEASE HYDRO LS,RELEASE
RELEASE JUDG,RELEASE
RELEASE LEASE,RELEASE
RELEASE LEASE AGREE ,RELEASE
RELEASE LIEN,RELEASE
RELEASE LIENS/SECUR ,RELEASE
RELEASE LIS PEND,RELEASE
RELEASE LIS/PEND,RELEASE
RELEASE LSE AGREE,RELEASE
RELEASE LSE DECL,RELEASE
RELEASE LSE ETC,RELEASE
RELEASE MINERALS,RELEASE
RELEASE MOVABLE,RELEASE
RELEASE MTG,RELEASE
RELEASE MTG & ETC,RELEASE
RELEASE NET PROFITS ,RELEASE
RELEASE NTC ASGN,RELEASE
RELEASE O & G LEASE ,RELEASE
RELEASE OF ASSIGN OF,RELEASE
RELEASE OF DEED,RELEASE
RELEASE OF GEO PERMI,RELEASE
RELEASE OF JUDG,RELEASE
RELEASE OF LEASE,RELEASE
RELEASE OF LEASE ETC,RELEASE
RELEASE OF LIEN,RELEASE
RELEASE OF LIEN BOND,RELEASE
RELEASE OF LIEN ETC ,RELEASE
RELEASE OF LIENS,RELEASE
RELEASE OF LIENS/CLA,RELEASE
RELEASE OF LSE,RELEASE
RELEASE OF MIN,RELEASE
RELEASE OF MOVABLE,RELEASE
RELEASE OF MTG,RELEASE
RELEASE OF MTG ETC,RELEASE
RELEASE OF OGML,RELEASE
RELEASE OF PERSONAL ,RELEASE
RELEASE OF R/W,RELEASE
RELEASE OF RIGHTS,RELEASE
RELEASE OF SEISMIC P,RELEASE
RELEASE OF STATE LEA,RELEASE
RELEASE OF SURFACE L,RELEASE
RELEASE OF SURFACE R,RELEASE
RELEASE OF TAX LIEN ,RELEASE
RELEASE OF USUFRUCT ,RELEASE
RELEASE OF WELL LIEN,RELEASE
RELEASE OGH LEASE,RELEASE
RELEASE OGL,RELEASE
RELEASE OGL & ETC,RELEASE
RELEASE OGL & LTD RO,RELEASE
RELEASE OGL & ROY DE,RELEASE
RELEASE OGL & SURF R,RELEASE
RELEASE OGML,RELEASE
RELEASE OGML & PLAT ,RELEASE
RELEASE OIL LSE,RELEASE
RELEASE OIL/GAS,RELEASE
RELEASE OP TO PURCH ,RELEASE
RELEASE OPT PURC,RELEASE
RELEASE OPT PURCHASE,RELEASE
RELEASE ORDER,RELEASE
RELEASE ORR INT,RELEASE
RELEASE P/L,RELEASE
RELEASE P/L R/W,RELEASE
RELEASE P/L R/W & LS,RELEASE
RELEASE PARTIAL,RELEASE
RELEASE PASTURE LEAS,RELEASE
RELEASE PERMIT,RELEASE
RELEASE PLEDGE,RELEASE
RELEASE PROD PAY,RELEASE
RELEASE Q C,RELEASE
RELEASE Q/CLM,RELEASE
RELEASE QC,RELEASE
RELEASE R/W,RELEASE
RELEASE R/W ETC,RELEASE
RELEASE RATIF,RELEASE
RELEASE REASSIGN,RELEASE
RELEASE REFU RT,RELEASE
RELEASE RESTRICT,RELEASE
RELEASE RIGHT FIRST ,RELEASE
RELEASE RIGHTS,RELEASE
RELEASE ROYALTY DEED,RELEASE
RELEASE RT FIRST REF,RELEASE
RELEASE SEISMIC OPT ,RELEASE
RELEASE ST LSE 16371,RELEASE
RELEASE ST LSE 18882,RELEASE
RELEASE ST LSE#16411,RELEASE
RELEASE ST LSE#16426,RELEASE
RELEASE SURFACE & MI,RELEASE
RELEASE SURFACE AGRE,RELEASE
RELEASE TAX LIEN,RELEASE
RELEASE USUFRUCT,RELEASE
RELEASE V/L,RELEASE
RELEASE& QC,RELEASE
RELEASE& REASSIGN,RELEASE
RELEASE/ DECL,RELEASE
RELEASE/ ORR INT,RELEASE
RELEASE/ PROD PMT,RELEASE
RELEASE/ REASSGN,RELEASE
RELEASE/ RECEIPT,RELEASE
RELEASE/ TRSNFR,RELEASE
RELEASE/ USUFRUCT,RELEASE
RELEASE/TERM ASSIGN ,RELEASE
RELESE,RELEASE
RELINQUISH R/W,AFFIDAVIT
RELINQUISHMENT,AFFIDAVIT
REMOVE ASSETS FROM R,TRUST
REMPTION,REDEMPTION
REMUN DONA,DONATION
REMUN DONATION,DONATION
REMUNERATIVE & ONERO,DONATION
REMUNERATIVE DONATIO,DONATION
REN DIV OR,OGM FILING
REN DIV OR & RAT,OGM FILING
RENEW & AMEN LSE,LEASE
RENEW LEASE,LEASE
RENEWAL,AGREEMENT
RENEWAL & EXT AGREE ,AGREEMENT
RENEWAL AGREE,AGREEMENT
RENEWAL CERTIF,CERTIFICATE
RENEWAL CONT #1,CONTRACT
RENEWAL CONT & BOND ,CONTRACT
RENEWAL CONTRACT & B,CONTRACT
RENOUNC- IATION,DONATION
RENT DIV ORD,OGM FILING
RENT DIV ORD ETC,OGM FILING
RENT TO OWN,AGREEMENT
RENT TO OWN AGREE,AGREEMENT
RENTAL & CHG/DEP,AGREEMENT
RENTAL AGREE,AGREEMENT
RENTAL DIV OR,OGM FILING
RENTAL DIV ORD,OGM FILING
RENTAL DIV ORDER W/R,OGM FILING
RENTAL DIVISION ORDE,OGM FILING
RENTAL LEASE,LEASE
RENTAL RCPT/RTF,AGREEMENT
RENTAL STIPULA,AGREEMENT
RENUC & WAIVER OF 1S,AGREEMENT
RENUC OF USUFRUCT,TRANSFER
RENUCATE USUFRUCT,TRANSFER
RENUCIAT USUFRUCT,TRANSFER
RENUN,TRANSFER
RENUN & CONSENT,AGREEMENT
RENUN & DSCLMER,AGREEMENT
RENUN & RATIF ETC,AGREEMENT
RENUN /COMM,AGREEMENT
RENUN DONA,TRANSFER
RENUN ETC,AFFIDAVIT
RENUN HABITATION,AFFIDAVIT
RENUN OF MINRLS,AFFIDAVIT
RENUN OF OPTION,AFFIDAVIT
RENUN OF PRESCRIP,AFFIDAVIT
RENUN OF RIGHT,AFFIDAVIT
RENUN OF RIGHT OF FI,AFFIDAVIT
RENUN OF RIGHTS,AFFIDAVIT
RENUN OF RT OF FIRST,AFFIDAVIT
RENUN OF SUCCN,AFFIDAVIT
RENUN OF USFRCT,AFFIDAVIT
RENUN OF USUFR,AFFIDAVIT
RENUN OF USUFRCT,AFFIDAVIT
RENUN OF USUFRUC,AFFIDAVIT
RENUN OF USUFRUCT,AFFIDAVIT
RENUN RT FIRST REFUS,AFFIDAVIT
RENUN TO CONCUR,AFFIDAVIT
RENUN USUFRUCT,AFFIDAVIT
RENUN USUFRUCT & PLA,AFFIDAVIT
RENUN USUFRUCT/WARRA,AFFIDAVIT
RENUN/ RIGHTS,AFFIDAVIT
RENUN/ USUFRUCT,AFFIDAVIT
RENUNC,AFFIDAVIT
RENUNC & DISCLAIMER ,AFFIDAVIT
RENUNC COM PROP,AFFIDAVIT
RENUNC LEGACY,AFFIDAVIT
RENUNC OF LEGACY,AFFIDAVIT
RENUNC OF SUCCN,AFFIDAVIT
RENUNC OF USUFRUCT,AFFIDAVIT
RENUNC REFUSAL TO PU,AFFIDAVIT
RENUNC RT 1ST REFUSA,AFFIDAVIT
RENUNC RT PERSONAL U,AFFIDAVIT
RENUNC SUCCN,AFFIDAVIT
RENUNC USUFRUCT,AFFIDAVIT
RENUNC USUFRUCT & PL,AFFIDAVIT
RENUNCI & DECL,AFFIDAVIT
RENUNCI DISCLAIMER,AFFIDAVIT
RENUNCI- ATION,AFFIDAVIT
RENUNCIA,AFFIDAVIT
RENUNCIA OF RTS,AFFIDAVIT
RENUNCIA SUCCN,AFFIDAVIT
RENUNCIA TION,AFFIDAVIT
RENUNCIA USUFRUC,AFFIDAVIT
RENUNCIA USUFRUCT,AFFIDAVIT
RENUNCIATION,AFFIDAVIT
RENUNCIATION MIN USU,AFFIDAVIT
RENUNCIATION OF 1ST ,AFFIDAVIT
RENUNCIATION OF DONA,AFFIDAVIT
RENUNCIATION OF R/W ,AFFIDAVIT
RENUNCIATION OF SUCC,AFFIDAVIT
RENUNCIATION OF USU ,AFFIDAVIT
RENUNCIATION OF USUF,AFFIDAVIT
RENUNCIATION PROV CU,AFFIDAVIT
RENUNCIATION RGHT HA,AFFIDAVIT
RENUNCIATION SUCCESS,AFFIDAVIT
RENUNCIATION SUCCN,AFFIDAVIT
RENUNCIATION USUFRUC,AFFIDAVIT
RENUNCIATION/USUFRUC,AFFIDAVIT
RENUNCTN,AFFIDAVIT
RENUNCTN OF SCCN,AFFIDAVIT
RENUNCTN PTRNTY,AFFIDAVIT
RENUNCTN RIGHTS,AFFIDAVIT
RENUNCTN SUCCN,AFFIDAVIT
RENUNIC- ATION,AFFIDAVIT
RENUNICATION,AFFIDAVIT
REPLACE ASGN ORR,OGM FILING
REPLACE ASSIGN & BIL,OGM FILING
REPLC OF CONSV,AFFIDAVIT
REPORT,NOTICE
REQ FOR NOTICE,REQUEST NOTICE SEIZE
REQ FOR NRC SZUR,REQUEST NOTICE SEIZE
REQ FOR NT SZR,REQUEST NOTICE SEIZE
REQ FOR NT SZRE,REQUEST NOTICE SEIZE
REQ FOR NTC,REQUEST NOTICE SEIZE
REQ FOR NTC OF SEIZ ,REQUEST NOTICE SEIZE
REQ FOR NTC SEIZ,REQUEST NOTICE SEIZE
REQ FOR NTC SRZE,REQUEST NOTICE SEIZE
REQ FOR NTC SZR,REQUEST NOTICE SEIZE
REQ FOR NTC SZRE,REQUEST NOTICE SEIZE
REQ FOR NTC SZUE,REQUEST NOTICE SEIZE
REQ FOR NTC SZUR,REQUEST NOTICE SEIZE
REQ FOR NTZ SZUR,REQUEST NOTICE SEIZE
REQ FOR SZR,REQUEST NOTICE SEIZE
REQ FR NT OF SZ,REQUEST NOTICE SEIZE
REQ FR NTC SZR,REQUEST NOTICE SEIZE
REQ FR NTC SZU,REQUEST NOTICE SEIZE
REQ FR NTC SZUR,REQUEST NOTICE SEIZE
REQ NOT SEIZURE,REQUEST NOTICE SEIZE
REQ NTC,REQUEST NOTICE SEIZE
REQ NTC OF SZUR,REQUEST NOTICE SEIZE
REQ NTC SEIZRE,REQUEST NOTICE SEIZE
REQ NTC SEIZURE,REQUEST NOTICE SEIZE
REQ NTC SEZRE,REQUEST NOTICE SEIZE
REQ NTC SZRE,REQUEST NOTICE SEIZE
REQ NTC SZUR,REQUEST NOTICE SEIZE
REQ NTC SZURE,REQUEST NOTICE SEIZE
REQ. FOR NTC SZR,REQUEST NOTICE SEIZE
REQ/NOTC SEIZURE,REQUEST NOTICE SEIZE
REQ/NTC SEIZURE,REQUEST NOTICE SEIZE
REQST FOR NOT,REQUEST NOTICE SEIZE
REQUEST,REQUEST NOTICE SEIZE
REQUEST FOR NOT,REQUEST NOTICE SEIZE
RERECORD OGML,OGM LEASE
RES FRUITS & REV SEP,AFFIDAVIT
RES OF SEP PROP,AFFIDAVIT
RESC MARR CONT &EST ,AFFIDAVIT
RESCEND ORDER OF EVA,AFFIDAVIT
RESCIND DATION EN PM,AFFIDAVIT
RESCIND RIGHT FIRST ,AFFIDAVIT
RESCIND SALE ETC,AFFIDAVIT
RESCIS R/W,AFFIDAVIT
RESCISS /DONA,AFFIDAVIT
RESCISSION OF SALE,AFFIDAVIT
RESCISSION REVOC & C,AFFIDAVIT
RESCISSION V/LIEN,AFFIDAVIT
RESCISSON OF DONATIO,AFFIDAVIT
RESDNTL LEASE,LEASE
RESER LTR AGREE ETC ,AGREEMENT
RESERV INCOME SEP PR,AFFIDAVIT
RESERV OF FRUITS/SEP,AFFIDAVIT
RESERV SEP PROP,AFFIDAVIT
RESERVA COMM PRO,AFFIDAVIT
RESERVA OF REV,AFFIDAVIT
RESERVATION & DECL S,AFFIDAVIT
RESERVATION OF INCOM,AFFIDAVIT
RESERVATION OF SEP P,AFFIDAVIT
RESERVTN SEP PRP,AFFIDAVIT
RESIDEN LEASE,LEASE
RESIDENTIAL LEASE,LEASE
RESIDENTIAL LEASE/PL,LEASE
RESIG & APOINT TRUST,TRUST
RESIG CO TRUSTEE,TRUST
RESIG OF AGENT,AFFIDAVIT
RESIG OF TRUSTEE,TRUST
"RESIG,REL ETC",AFFIDAVIT
RESIGN & ACCEPT TRUS,TRUST
RESIGN & APPOINT TRU,TRUST
RESIGN & APPT,TRUST
RESIGN & APPT TRUSTE,TRUST
RESIGN & APT OF TRUS,TRUST
RESIGN & REASSIGN TR,TRUST
RESIGN CO TRUSTEE,TRUST
RESIGN CO TRUSTEES,TRUST
RESIGN OF MANAGER,AFFIDAVIT
RESIGN OF TRUSTEE,TRUST
RESIGN TRUSTEE,TRUST
"RESIGN, ACCEPT, JUDG",AFFIDAVIT
RESIGN/ACCEPT,AFFIDAVIT
RESIGNA,AFFIDAVIT
RESIGNA TION,AFFIDAVIT
RESIGNA- TION,AFFIDAVIT
RESIGNA- TION ETC,AFFIDAVIT
RESIGNAT TRUSTEE,TRUST
RESIGNATION & ACCEPT,AFFIDAVIT
RESIGNATION & APPT O,AFFIDAVIT
RESIGNATION OF P/ATT,AFFIDAVIT
RESIGNATION OF TRUST,AFFIDAVIT
RESIGNATION TRUSTEE ,AFFIDAVIT
RESIGNTN ETC,AFFIDAVIT
RESL ASSIGN BILL SAL,AFFIDAVIT
RESLTN,RESOLUTION
RESO & ACKNOW,RESOLUTION
RESO APR ASSIGN,RESOLUTION
RESO LUTION,RESOLUTION
RESO P/ATTY,RESOLUTION
RESOL,RESOLUTION
RESOL #865-E,RESOLUTION
RESOL & ACCEPT,RESOLUTION
RESOL & ASSIGN,RESOLUTION
RESOL & ASSIGN OG IN,RESOLUTION
RESOL & ASSIGN OGML ,RESOLUTION
RESOL & OGML,RESOLUTION
RESOL & RATIF,RESOLUTION
RESOL &RELEASE,RESOLUTION
RESOL - ACCEPT,RESOLUTION
RESOL /COMPLE,RESOLUTION
RESOL APP ASGN,RESOLUTION
RESOL ASSIGN ETC,RESOLUTION
RESOL OF AUTH,RESOLUTION
RESOL PERMIT,RESOLUTION
RESOL REG AGT,RESOLUTION
RESOL/INCUMB CERTIF ,RESOLUTION
RESOL/P ATTY,RESOLUTION
RESOL/VOL UNIT AGREE,RESOLUTION
RESOLTN,RESOLUTION
RESOLTN & P/ATTY,RESOLUTION
RESOLU,RESOLUTION
RESOLU & ASSIGN,RESOLUTION
RESOLU & ETC,RESOLUTION
RESOLU & NAME CHANGE,RESOLUTION
RESOLU & P/ATTY,RESOLUTION
RESOLU & TRANSFER,RESOLUTION
RESOLU BOND,RESOLUTION
RESOLU ETC,RESOLUTION
RESOLU NO 42,RESOLUTION
RESOLU NO 865-C,RESOLUTION
RESOLU NO 954 E,RESOLUTION
RESOLU P/ATTY,RESOLUTION
RESOLU TION,RESOLUTION
RESOLU TION 47,RESOLUTION
RESOLU TION 48,RESOLUTION
RESOLU TION 49,RESOLUTION
RESOLU TION 50,RESOLUTION
RESOLU TION ETC,RESOLUTION
RESOLU TION&ETC,RESOLUTION
